"site","watershed","ISCO_number","record_type","year","month","day","hour","season","julian_day","running_day_of_project","Ca_ueq_L","nmCa_ueq_L","Mg_flag","Mg_ueq_L","nmMg_ueq_L","K_flag","K_ueq_L","nmK_ueq_L","Na_ueq_L","nmNa_ueq_L","Si_flag","Si_mg_L","NH4_flag","NH4_ueq_L","Al_flag","Al_ppb","Al_org_flag","Al_org_ppb","total_N_flag","total_N_ppm","Cl_ueq_L","SO4_ueq_L","nmSO4_ueq_L","NO3_flag","NO3_ueq_L","DOC_flag","DOC_mg_L","DIC_flag","DIC_mg_L","ANC_ueq_L","sp_conductance_us_cm","discharge_L_sec","H_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll","apparent_color_flag","apparent_color_PCU","true_color_flag","true_color_PCU","total_P_flag","total_P_ppb","Comment"
"EB3","EB","","REG",1986,10,1,11,"FALL",274,274,,,"",,,"",,,,,"",,"",,,"","","","",,76,115,107,"<DL",0.05,"",,"",,,,,,,,,,"","",,"",,"",,""
"WB3","WB","","REG",1986,10,1,11,"FALL",274,274,,,"",,,"",,,,,"",,"",,,"","","","",,79,110,102,"<DL",0.05,"",,"",,,,,,,,,,"","",,"",,"",,""
"EB3","EB","","DUP",1986,11,13,11,"FALL",317,317,80,77,"",27,14,"",3.8,3,80,20,"",,"",,,"","","","",,70,112,105,"",2,"",,"",,,,,,,,,,"","",,"",,"",,""
"EB3","EB","","REG",1986,11,13,11,"FALL",317,317,89,86,"",30,16,"",4.3,3,85,21,"",,"",,,"","","","",,74,117,109,"<DL",0.05,"",,"",,12.2,24.3,,1.2,,5.53,5.92,,"","",,"",,"",,""
"WB3","WB","","REG",1986,11,13,11,"FALL",317,317,101,98,"",35,21,"",6.4,5,88,25,"",,"",,,"","","","",,73,107,99,"",3,"",,"",,33.4,,,0.22,,6.03,6.65,,"","",,"",,"",,""
"EB3","EB","","REG",1986,11,17,11,"FALL",321,321,99,97,"",30,15,"",5.1,4,79,16,"",,"",,,"","","","",,73,112,104,"",2,"",,"",,25.6,23.4,,0.58,,6.06,6.24,,"","",,"",,"",,""
"WB3","WB","","REG",1986,11,17,11,"FALL",321,321,90,87,"",34,19,"",8.4,7,94,29,"",,"",,,"","","","",,76,107,99,"",4,"",,"",,37.2,,,0.23,,6.03,6.63,,"","",,"",,"",,""
"EB3","EB","","REG",1986,11,25,11,"FALL",329,329,83,81,"",28,16,"",6.1,5,70,19,"",,"",,,"","","","",,60,105,99,"",18,"",,"",,9,23.3,,2.88,,5.45,5.54,,"","",6,"",,"",,""
"WB3","WB","","REG",1986,11,25,11,"FALL",329,329,105,103,"",35,23,"",8.2,7,74,21,"",,"",,,"","","","",,61,113,107,"",22,"",,"",,15.5,24.8,,1,,5.83,6,,"","",8,"",,"",,""
"EB3","EB","","REG",1986,12,2,11,"WINTER",336,336,,,"",,,"",,,,,"",,"",,,"","","","",,60,108,102,"",11,"",,"",,13.4,,,,,5.69,,,"","",,"",,"",,""
"WB3","WB","","REG",1986,12,2,11,"WINTER",336,336,,,"",,,"",,,,,"",,"",,,"","","","",,61,110,104,"",12,"",,"",,19,,,,,5.88,,,"","",,"",,"",,""
"EB3","EB","","REG",1987,1,14,11,"WINTER",14,379,89,86,"",32,19,"",4.6,3,81,23,"",1.9,"<DL",1.4,,"103","","58","",,68,108,101,"",8,"<RL",0.6,"<RL",0.3,27.1,24.7,,0.56,6.36,5.9,6.25,,"","<RL",0,"<RL",0,"",,""
"WB3","WB","","REG",1987,1,14,11,"WINTER",14,379,82,80,"",34,20,"",5.9,5,86,23,"",2.5,"<DL",1.4,,"47","","32","",,73,102,94,"",8,"<DL",0,"<RL",0.4,21.7,24.3,,0.55,8.92,5.93,6.26,,"","<RL",5,"<RL",5,"",,""
"EB3","EB","","REG",1987,1,21,11,"WINTER",21,386,95,92,"",33,18,"",5.1,4,85,19,"",2,"<DL",1.4,,"85","","59","",,77,109,101,"",8,"<RL",0.8,"<RL",0.4,27.4,24.9,,0.71,11.5,6.09,6.15,,"","",15,"",10,"",,""
"WB3","WB","","REG",1987,1,21,9,"WINTER",21.38,386.38,84,82,"",35,20,"",6.1,5,89,24,"",2.7,"<DL",1.4,,"49","","39","",,75,102,94,"",8,"<RL",0.1,"<RL",0.4,23.9,24.5,,0.78,9.07,5.94,6.11,,"","<RL",5,"",10,"",,""
"EB3","EB","","DUP",1987,2,3,11,"WINTER",34.46,399.46,98,95,"",37,23,"",5.1,4,85,24,"",2,"<DL",1.4,,"62","","37","",,71,109,102,"",8.7,"<RL",0.7,"",,38.3,28.2,,0.37,,6.12,6.43,,"","",8,"",7,"",,""
"EB3","EB","","REG",1987,2,3,11,"WINTER",34.46,399.46,103,100,"",35,21,"",5.1,4,84,22,"",2,"<DL",1.4,,"64","","37","",,72,106,99,"",8.5,"<RL",0.2,"",,36.1,28.9,,0.3,,6.2,6.53,,"","",6,"",6,"",,""
"WB3","WB","","REG",1987,2,3,11,"WINTER",34.46,399.46,90,87,"",37,22,"",6.4,5,88,24,"",2.5,"<DL",1.4,,"45","","29","",,75,98,90,"",6.9,"<RL",0.2,"",,26.8,27.1,,0.38,,6.02,6.42,,"","",6,"",6,"",,""
"EB3","EB","","REG",1987,2,17,11,"WINTER",48.46,413.46,109,106,"",39,24,"",6.9,5,97,33,"",2,"<DL",1.4,,"52","","32","",,75,106,98,"",7.6,"",,"",0.6,43.1,28.3,,0.3,22.2,6.27,6.53,,"","<RL",4,"<RL",5,"",,""
"WB3","WB","","DUP",1987,2,17,12,"WINTER",48.5,413.5,89,86,"",39,24,"",6.6,5,89,26,"",2.9,"<DL",1.4,,"38","","34","",,73,98,90,"",8.7,"",,"",0.6,34.4,25.6,,0.38,16.5,6.06,6.42,,"","",7,"",6,"",,""
"WB3","WB","","REG",1987,2,17,12,"WINTER",48.5,413.5,86,84,"",36,22,"",6.6,5,93,30,"",2.8,"<DL",1.4,,"40","","26","",,73,96,88,"",8.7,"",,"",0.6,31.3,25.9,,0.3,16,6.04,6.52,,"","",6,"",6,"",,""
"EB3","EB","","REG",1987,3,4,12,"SPRING",63.5,428.5,116,114,"",38,24,"",6.1,5,91,30,"",2.3,"<DL",1.4,,"38","","31","",,72,107,100,"",5.4,"",1.1,"",0.6,49.5,27.2,,0.19,22.2,6.27,6.72,,"","<RL",2,"<RL",2,"",,""
"WB3","WB","","REG",1987,3,4,12,"SPRING",63.5,428.5,88,85,"",36,22,"",6.4,5,94,32,"",3,"<DL",1.4,,"37","","27","",,73,95,87,"",7.5,"",1.3,"",0.6,30.6,24.5,,0.37,17.3,6.09,6.43,,"","<RL",3,"<RL",2,"",,""
"EB3","EB","","REG",1987,3,10,11,"SPRING",69.46,434.46,110,108,"",35,22,"",6.6,5,90,32,"",2.3,"",,,"33","","33","",,68,102,95,"",5.3,"",1.6,"",0.8,46.4,30,,0.18,34.6,6.4,6.75,,"","<RL",2,"<RL",2,"",,""
"WB3","WB","","REG",1987,3,10,11,"SPRING",69.46,434.46,90,88,"",36,22,"",6.1,5,92,30,"",3.2,"",,,"30","","28","",,72,93,86,"",7.4,"",1.2,"",0.5,29,27.4,,0.26,16.2,6.17,6.58,,"","<RL",3,"<RL",3,"",,""
"EB3","EB","","DUP",1987,3,18,13,"SPRING",77.54,442.54,120,117,"",38,24,"",6.1,5,92,31,"",2.8,"<DL",1.4,,"54","","31","",,71,108,101,"",4.3,"",,"",0.5,54.4,27.6,,0.15,20.9,6.37,6.82,,"","<RL",1,"<RL",2,"",,""
"EB3","EB","","REG",1987,3,18,13,"SPRING",77.54,442.54,137,135,"",37,23,"",6.1,5,92,30,"",2.8,"<DL",1.4,,"54","","38","",,72,101,94,"",5.1,"",1.1,"",0.5,52.4,29.1,,0.13,22.6,6.44,6.88,,"","<RL",2,"<RL",4,"",,""
"WB3","WB","","REG",1987,3,18,13,"SPRING",77.54,442.54,90,88,"",35,22,"",6.4,5,90,29,"",3.1,"<DL",1.4,,"40","","36","",,71,95,88,"",6.2,"<RL",0.9,"",0.5,36.2,23.3,,0.18,16.4,6.18,6.74,,"","<RL",0,"<RL",2,"",,""
"EB3","EB","","REG",1987,3,23,15,"SPRING",82.6,447.6,125,122,"",39,21,"",6.9,5,96,18,"",2,"<DL",1.4,,"45","","44","",,90,106,97,"",10.5,"",1.3,"",0.5,48.4,30.5,,0.2,17.6,6.23,6.7,,"","<RL",4,"<RL",1,"",,""
"WB3","WB","","REG",1987,3,23,15,"SPRING",82.6,447.6,103,99,"",41,24,"",7.7,6,99,24,"",2.7,"<DL",1.4,,"37","","28","",,88,95,86,"",17.2,"",1.2,"",0.8,37.9,27.8,,0.22,19.1,5.97,6.65,,"","",6,"<RL",1,"",,""
"EB3","EB","","REG",1987,3,25,11,"SPRING",84.46,449.46,,,"",30,17,"",5.9,5,80,21,"",1.5,"<DL",1.4,,"88","","46","",,68,99,92,"",13.2,"",1.2,"<RL",0.2,18.2,24.6,,0.52,3.49,5.79,6.28,,"","<RL",4,"<RL",2,"",,""
"WB3","WB","","REG",1987,3,25,12,"SPRING",84.5,449.5,84,81,"",35,21,"",6.6,5,79,20,"",2.1,"<DL",1.4,,"38","","25","",,69,86,79,"",13.9,"",1.1,"<RL",0.4,26.4,23.2,,0.27,9.38,5.96,6.57,,"","<RL",4,"<RL",3,"",,""
"EB3","EB","","REG",1987,3,27,11,"SPRING",86.46,451.46,88,85,"",30,18,"",5.9,5,80,27,"",1.5,"<DL",1.4,,"124","","74","",,62,97,91,"",24.4,"",1.5,"",,8.2,25.6,,2.51,,5.39,5.6,,"","",6,"<RL",2,"",,""
"WB3","WB","","REG",1987,3,27,11,"SPRING",86.46,451.46,98,95,"",35,19,"",7.4,6,82,14,"",1.6,"<DL",1.4,,"70","","48","",,80,99,91,"",24.9,"",1.3,"<RL",0.2,13.5,26.8,,1.23,3.3,5.76,5.91,,"","<RL",1,"<RL",4,"",,""
"EB3","EB","","REG",1987,3,29,10,"SPRING",88.42,453.42,81,79,"",28,16,"",5.1,4,75,20,"",1.5,"<DL",1.4,,"160","","75","",,64,96,89,"",21.5,"",1.5,"",,5,23.7,,2.88,,5.58,5.54,,"","<RL",1,"<RL",1,"",,""
"WB3","WB","","REG",1987,3,29,10,"SPRING",88.42,453.42,96,94,"",33,19,"",6.6,5,78,19,"",1.7,"<DL",1.4,,"90","","49","",,69,100,93,"",21.2,"",1.2,"<RL",0.1,13.4,23.7,,0.95,1.65,5.76,6.02,,"","<RL",1,"",7,"",,""
"EB3","EB","","REG",1987,4,1,13,"SPRING",91.54,456.54,78,75,"",29,12,"",8.2,7,73,1,"",1.1,"<DL",1.4,,"313","","92","",,84,81,72,"",25.9,"",2.4,"",,-3.1,27.2,,8.51,,5.08,5.07,,"","",8,"<RL",5,"",,""
"WB3","WB","","REG",1987,4,1,14,"SPRING",91.58,456.58,92,88,"",35,17,"",11.8,10,80,4,"",1.4,"<DL",1.4,,"309","","100","",,89,97,88,"",28,"",2.1,"",,4,29.4,,7.41,,5.19,5.13,,"","<RL",4,"<RL",2,"",,""
"EB3","EB","","REG",1987,4,2,13,"SPRING",92.54,457.54,79,76,"",30,13,"",7.7,6,75,1,"",1.2,"<DL",1.4,,"278","","90","",,86,84,75,"",23.6,"",2.1,"",,2.6,26.3,,6.31,,5.14,5.2,,"","",6,"<RL",5,"",,""
"WB3","WB","","REG",1987,4,2,13,"SPRING",92.54,457.54,93,90,"",34,16,"",10.5,9,81,2,"",1.5,"<DL",1.4,,"241","","73","",,92,98,88,"",26.5,"",1.7,"",,0.1,29,,5.89,,5.25,5.23,,"","<RL",5,"<RL",3,"",,""
"EB3","EB","","REG",1987,4,3,11,"SPRING",93.46,458.46,83,80,"",29,13,"",6.6,5,75,4,"",1.8,"<DL",1.4,,"243","","121","",,83,87,78,"",20.7,"",1.8,"",,1.7,27,,5.37,,5.28,5.27,,"","<RL",5,"<RL",4,"",,""
"WB3","WB","","REG",1987,4,3,11,"SPRING",93.46,458.46,92,88,"",35,17,"",10.2,9,82,6,"",1.6,"<DL",1.4,,"195","","133","",,89,98,89,"",22.9,"",1.5,"",,2,29.2,,4.07,,5.42,5.39,,"","<RL",2,"<RL",2,"",,""
"WB3","WB","","REG",1987,4,5,16,"SPRING",95.67,460.67,87,84,"",32,17,"",8.2,7,77,8,"",1.4,"<DL",1.4,,"241","","118","",,80,97,89,"",21,"",1.6,"",,4.2,27,,4.17,,5.43,5.38,,"","<RL",3,"<RL",3,"",,""
"EB3","EB","","REG",1987,4,5,17,"SPRING",95.71,460.71,73,71,"",27,13,"",5.9,5,71,8,"",1.2,"<DL",1.4,,"214","","115","",,73,85,77,"",15.7,"",1.9,"",,4.4,24.5,,5.01,,5.34,5.3,,"","",6,"",6,"",,""
"EB3","EB","","REG",1987,4,6,15,"SPRING",96.6,461.6,75,73,"",25,10,"",5.4,4,68,5,"",1.1,"<DL",1.4,,"283","","166","",,73,87,79,"",15.1,"",2.1,"",,-1.3,19.9,,7.59,,5.21,5.12,,"","",6,"",6,"",,""
"WB3","WB","","REG",1987,4,6,15,"SPRING",96.6,461.6,85,83,"",30,16,"",7.9,7,70,7,"",1.5,"<DL",1.4,,"188","","120","",,73,91,83,"",22.5,"",1.7,"",,6.4,20.4,,4.17,,5.42,5.38,,"","<RL",4,"<RL",4,"",,""
"WB3","WB","","REG",1987,4,7,10,"SPRING",97.42,462.42,84,82,"",30,15,"",7.7,6,72,10,"",1.4,"<DL",1.4,,"247","","120","",,73,97,89,"",17.3,"",1.6,"",,0.2,25.7,,5.75,,5.34,5.24,,"","<RL",5,"",8,"",,""
"EB3","EB","","REG",1987,4,7,11,"SPRING",97.46,462.46,75,72,"",26,12,"",5.6,4,67,8,"",1.2,"<DL",1.4,,"235","","119","",,69,87,80,"",13.4,"",1.9,"",,-0.4,23.3,,6.92,,5.18,5.16,,"","",8,"",6,"",,""
"EB3","EB","","REG",1987,4,8,11,"SPRING",98,463,79,76,"",26,13,"",5.6,4,70,10,"",1.1,"<DL",1.4,,"229","","100","",,70,89,82,"",15.4,"",1.8,"",,2,23.9,,3.09,,5.38,5.51,,"","<RL",5,"<RL",4,"",,""
"WB3","WB","","REG",1987,4,8,11,"SPRING",98.46,463.46,87,85,"",30,16,"",7.7,6,74,10,"",1.5,"<DL",1.4,,"218","","95","",,74,99,91,"",20.6,"",1.4,"",,3.9,26,,1.91,,5.5,5.72,,"","<RL",3,"<RL",3,"",,""
"EB3","EB","","REG",1987,4,9,11,"SPRING",99.46,464.46,81,79,"",27,13,"",5.6,4,70,9,"",1.4,"<DL",1.4,,"220","","107","",,72,91,84,"",11.5,"",1.6,"",,3.7,23.8,,3.47,,5.41,5.46,,"","<RL",4,"<RL",1,"",,""
"WB3","WB","","REG",1987,4,9,11,"SPRING",99.46,464.46,92,89,"",32,18,"",7.4,6,73,9,"",1.6,"<DL",1.4,,"146","","78","",,75,97,89,"",17.4,"",1.3,"",,6.3,25.8,,1.91,,5.57,5.72,,"","<RL",1,"<RL",1,"",,""
"EB3","EB","","REG",1987,4,10,11,"SPRING",100,465,72,69,"",28,14,"",5.9,5,71,11,"",1.5,"<DL",1.4,,"182","","100","",,70,91,84,"",10.3,"",1.6,"",,5.3,24.4,,3.31,,5.48,5.48,,"","<RL",1,"<RL",2,"",,""
"WB3","WB","","DUP",1987,4,10,11,"SPRING",100,465,80,77,"",34,20,"",7.9,7,76,13,"",2,"<DL",1.4,,"133","","70","",,73,97,89,"",15.7,"",,"",,6.1,25.7,,2,,5.63,5.7,,"","<RL",2,"<RL",1,"",,""
"WB3","WB","","REG",1987,4,10,11,"SPRING",100,465,81,79,"",32,18,"",7.9,7,76,12,"",1.7,"<DL",1.4,,"141","","79","",,74,97,89,"",15.9,"",1.4,"",,6,25.3,,2.24,,5.63,5.65,,"","<RL",1,"<RL",1,"",,""
"EB3","EB","","REG",1987,4,14,10,"SPRING",104.4,469.42,77,74,"",29,15,"",5.9,5,74,14,"",1.6,"<DL",1.4,,"148","","90","",,69,96,89,"",7.3,"",1.5,"",,5.4,23.7,,2.51,,5.58,5.6,,"","<RL",4,"<RL",2,"",,""
"WB3","WB","","REG",1987,4,14,10,"SPRING",104.4,469.42,83,80,"",34,20,"",7.9,7,78,17,"",2.1,"<DL",1.4,,"85","","53","",,72,97,90,"",13.2,"",1.3,"",,8.5,25.2,,1.23,,5.71,5.91,,"","<RL",5,"<RL",1,"",,""
"WB3","WB","","REG",1987,4,21,10,"SPRING",111.4,476.42,86,83,"",32,18,"",8.2,7,84,23,"",2.2,"<DL",1.4,,"64","","45","",,71,102,95,"",3.7,"",1.3,"",,12.1,26.6,,1.07,,5.49,5.97,,"","<RL",2,"<RL",2,"",,""
"EB3","EB","","REG",1987,4,21,11,"SPRING",111.5,476.46,82,79,"",28,13,"",6.1,5,80,14,"",1.7,"<DL",1.4,,"115","","59","",,76,102,94,"",8.1,"",1.6,"",,19.4,25.7,,1.51,,5.68,5.82,,"","<RL",2,"<RL",2,"",,""
"EB3","EB","","REG",1987,4,28,10,"SPRING",118.4,483.42,89,87,"",30,16,"",6.1,5,84,22,"",1.9,"<DL",1.4,,"105","","64","",,72,104,97,"",2.3,"",1.3,"",,19.4,24.9,,0.62,,5.86,6.21,,"","<RL",2,"<RL",2,"",,""
"WB3","WB","","REG",1987,4,28,10,"SPRING",118.4,483.42,88,85,"",34,19,"",7.9,6,86,20,"",2.4,"<DL",1.4,,"69","","51","",,77,101,93,"",6.6,"",1.1,"",,16.7,25.4,,0.54,,5.83,6.27,,"","<RL",2,"<RL",2,"",,""
"EB3","EB","","REG",1987,4,30,12,"SPRING",120.5,485.5,81,78,"",28,15,"",5.9,5,81,23,"",1.7,"<DL",1.4,,"103","","61","",,68,100,93,"",2.8,"",1.5,"",,10.8,24.2,,1.07,,5.69,5.97,,"","<RL",2,"<RL",2,"",,""
"WB3","WB","","REG",1987,4,30,12,"SPRING",120.5,485.5,86,84,"",33,19,"",7.7,6,85,21,"",2.2,"<DL",1.4,,"52","","43","",,74,98,90,"",7.2,"",1.2,"",,15.4,25.2,,0.68,,5.81,6.17,,"","<RL",5,"<RL",4,"",,""
"EB3","EB","","REG",1987,5,5,10,"SPRING",125.4,490.42,83,81,"",29,15,"",6.1,5,87,27,"",1.6,"<DL",1.4,,"100","","72","",,69,103,96,"",3.2,"",1.3,"",,10.7,24.3,,0.87,,5.71,6.06,,"","<RL",1,"<RL",1,"",,""
"WB3","WB","","REG",1987,5,5,11,"SPRING",125.5,490.46,86,83,"",33,18,"",7.9,7,84,20,"",2.3,"<DL",1.4,,"62","","48","",,75,101,93,"",6.9,"",1.1,"",,15,23.2,,0.66,,5.93,6.18,,"","<RL",1,"<RL",0,"",,""
"EB3","EB","","REG",1987,5,7,11,"SPRING",127.5,492.46,74,72,"",26,14,"",5.6,4,77,22,"",1.6,"<DL",1.4,,"153","","76","",,63,100,93,"",4.3,"",1.6,"",,8.3,24.1,,1.95,,5.6,5.71,,"","<RL",2,"<RL",3,"",,""
"WB3","WB","","REG",1987,5,7,11,"SPRING",127.5,492.46,85,83,"",33,19,"",8.2,7,82,20,"",1.9,"<DL",1.4,,"98","","66","",,72,107,100,"",8.9,"",1.4,"",,10.4,26.1,,0.95,,5.82,6.02,,"","<RL",1,"<RL",2,"",,""
"EB3","EB","","REG",1987,5,12,10,"SPRING",132.4,497.42,85,82,"",27,14,"",6.9,6,83,23,"",1.8,"<DL",1.4,,"109","","","",,70,105,98,"",2.5,"",1.3,"",,11.4,22.9,,0.89,,5.87,6.05,,"","<RL",1,"<RL",1,"",,""
"WB3","WB","","REG",1987,5,12,11,"SPRING",132.5,497.46,86,84,"",33,19,"",8.7,7,87,23,"",2.4,"<DL",1.4,,"66","","","",,74,103,95,"",6.1,"",1.1,"",,19,24.7,,0.5,,5.9,6.3,,"","<RL",1,"<RL",1,"",,""
"EB3","EB","","REG",1987,5,19,12,"SPRING",139.5,504.5,88,86,"",30,15,"",7.4,6,86,23,"",1.9,"<RL",3.88,,"90","","54","",,74,107,99,"",1.6,"",1.3,"",,15.7,23.1,,0.51,,5.87,6.29,,"","<RL",1,"<RL",1,"",,""
"WB3","WB","","REG",1987,5,19,12,"SPRING",139.5,504.5,85,82,"",34,19,"",8.9,8,90,24,"",2.6,"<DL",1.4,,"62","","48","",,77,103,95,"",4.9,"",1.5,"",,17.4,24.7,,0.6,,5.96,6.22,,"","<RL",2,"<RL",1,"",,""
"EB3","EB","","REG",1987,5,26,11,"SPRING",146.5,511.46,89,86,"",30,16,"",6.1,5,87,24,"",2,"<DL",1.4,,"78","","48","",,74,105,97,"<RL",0.8,"",1.2,"",,21.8,27.5,,0.39,,6.04,6.41,,"","<RL",1,"<RL",2,"",,""
"WB3","WB","","REG",1987,5,26,11,"SPRING",146.5,511.46,85,82,"",34,19,"",8.4,7,91,26,"",2.7,"<DL",1.4,,"53","","53","",,76,101,93,"",3.6,"",1.2,"",,22.7,28,,0.43,,5.9,6.37,,"","<RL",1,"<RL",1,"",,""
"WB3","WB","","REG",1987,6,2,10,"SUMMER",153.4,518.42,89,86,"",35,19,"",11,9,98,28,"",2.8,"<DL",1.4,,"58","","58","",,81,104,96,"",2.9,"",1.2,"",,24.7,28.4,,0.29,,5.95,6.54,,"","<RL",2,"<RL",0,"",,""
"EB3","EB","","REG",1987,6,2,11,"SUMMER",153.5,518.46,88,85,"",30,15,"",5.4,4,88,25,"",2.1,"<DL",1.4,,"83","","55","",,73,109,101,"<RL",0.4,"",1.3,"",,16.5,27.2,,0.38,,5.96,6.42,,"","<RL",1,"<RL",0,"",,""
"EB3","EB","","REG",1987,6,9,9,"SUMMER",160.4,525.38,81,78,"",27,15,"",3.8,3,85,29,"",2,"<DL",1.4,,"102","","53","",,65,106,99,"",1,"",1.3,"",,9.4,24.7,,1.1,,5.87,5.96,,"","<RL",2,"<RL",1,"",,""
"WB3","WB","","REG",1987,6,9,10,"SUMMER",160.4,525.42,89,86,"",35,21,"",5.6,4,96,34,"",2.4,"<DL",1.4,,"62","","50","",,72,105,98,"",2.9,"",1.2,"",,22.3,26.6,,0.4,,6.06,6.4,,"","<RL",1,"<RL",1,"",,""
"WB3","WB","","REG",1987,6,17,10,"SUMMER",168.4,533.42,90,87,"",34,19,"",4.6,3,94,28,"",2.8,"<DL",1.4,,"38","","33","",,76,103,95,"",1.4,"",1.1,"",1,28,27.7,,0.37,27.1,6.05,6.43,,"","<RL",4,"<RL",2,"",,""
"EB3","EB","","DUP",1987,6,17,13,"SUMMER",168.5,533.54,94,92,"",30,16,"",2.8,1,87,26,"",2.1,"<DL",1.4,,"70","","43","",,71,106,99,"<RL",0.2,"",,"",0.7,29.6,27.1,,0.37,27.9,6.33,6.43,,"","<RL",2,"<RL",2,"",,""
"EB3","EB","","REG",1987,6,17,13,"SUMMER",168.5,533.54,96,93,"",30,16,"",2.6,1,90,28,"",2.1,"<DL",1.4,,"61","","50","",,72,108,101,"<RL",0.1,"",1.2,"",0.7,27.8,26.8,,0.39,26.2,6.28,6.41,,"","<RL",1,"<RL",4,"",,""
"WB3","WB","","REG",1987,6,23,9,"SUMMER",174.4,539.38,85,83,"",34,20,"",3.8,2,94,32,"",2.9,"<DL",1.4,,"55","","41","",,72,97,90,"<RL",0.4,"",1.2,"",1.1,34,25.5,,0.3,28.4,6.02,6.52,,"","<RL",3,"<RL",2,"",,""
"EB3","EB","","REG",1987,6,23,10,"SUMMER",174.4,539.42,105,103,"",33,19,"",3.3,2,92,29,"",2.2,"<DL",1.4,,"70","","58","",,73,109,101,"<DL",0.05,"",1.4,"",0.8,38.9,26,,0.26,35,6.41,6.59,,"","<RL",3,"<RL",3,"",,""
"EB3","EB","","REG",1987,6,25,10,"SUMMER",176.4,541.42,106,104,"",34,20,"",2.6,1,94,31,"",2.3,"<DL",1.4,,"51","","33","",,73,105,97,"<DL",0.05,"",1.1,"<RL",0.3,45.4,30.2,,0.15,13,6.4,6.81,,"","<RL",1,"<RL",1,"",,""
"WB3","WB","","REG",1987,6,25,11,"SUMMER",176.5,541.46,86,83,"",34,19,"",3.6,2,94,30,"",3,"<DL",1.4,,"36","","20","",,75,99,91,"<RL",0.7,"",1,"",1.1,32.9,28.3,,0.23,30.3,6.06,6.63,,"","<RL",3,"<RL",1,"",,""
"WB3","WB","","DUP",1987,6,30,11,"SUMMER",181,546,85,83,"",31,19,"",4.9,4,81,26,"",2,"<DL",1.4,,"64","","47","",,65,104,97,"<RL",0.9,"",,"",0.6,17.5,26.1,,0.5,16.3,6.05,6.3,,"","<RL",2,"<RL",2,"",,""
"WB3","WB","","REG",1987,6,30,11,"SUMMER",181,546,85,82,"",31,18,"",5.4,4,84,26,"",2.1,"<DL",1.4,,"69","","51","",,67,107,100,"<RL",0.7,"",1.5,"",0.7,19.1,25.5,,0.59,17.2,5.99,6.23,,"","<RL",3,"<RL",1,"",,""
"EB3","EB","","REG",1987,6,30,16,"SUMMER",181.7,546.67,82,80,"",26,14,"",3.3,2,80,26,"",1.8,"<DL",1.4,,"124","","84","",,63,101,94,"<RL",0.3,"",1.7,"<RL",0.3,23.8,24,,0.98,7.03,5.96,6.01,,"","<RL",2,"<RL",4,"",,""
"EB3","EB","","REG",1987,7,7,10,"SUMMER",188.4,553.42,97,94,"",30,17,"",2.3,1,89,28,"",2.1,"<DL",1.4,,"76","","53","",,71,107,100,"<DL",0.05,"",1.4,"",0.6,27.8,26.9,,0.41,20.2,6.2,6.39,,"","<RL",4,"<RL",3,"",,""
"WB3","WB","","REG",1987,7,7,10,"SUMMER",188.4,553.42,84,82,"",34,20,"",3.8,2,92,30,"",2.6,"",,,"54","","38","",,73,102,94,"<RL",0.5,"",1.3,"",0.8,26.9,24.9,,0.38,16.1,5.87,6.42,,"","<RL",3,"<RL",2,"",,""
"WB3","WB","","REG",1987,7,14,12,"SUMMER",195.5,560.5,86,84,"",32,18,"",3.6,2,96,32,"",2.9,"<DL",1.4,,"48","","28","",,75,102,94,"<RL",0.6,"",1.1,"",1,29.3,26.4,,0.27,23.4,5.96,6.57,,"","",6,"<RL",5,"",,""
"EB3","EB","","REG",1987,7,14,13,"SUMMER",195.5,560.54,103,101,"",31,17,"",2.6,1,94,32,"",2.3,"<DL",1.4,,"61","","46","",,73,109,101,"<DL",0.05,"",1.3,"<RL",0.2,35.9,27.9,,0.25,9.22,6.46,6.61,,"","",9,"",6,"",,""
"WB3","WB","","REG",1987,7,21,10,"SUMMER",202.4,567.42,90,87,"",35,20,"",3.8,2,104,34,"",2.9,"<DL",1.4,,"51","","41","",,81,106,98,"",1,"",1.2,"",0.5,35.2,27.6,,0.27,11.7,5.96,6.57,,"","<RL",4,"<RL",2,"",,""
"EB3","EB","","REG",1987,7,21,12,"SUMMER",202.5,567.5,110,107,"",35,20,"",3.1,2,96,30,"",2.3,"<DL",1.4,,"54","","48","",,77,111,103,"<DL",0.05,"",1.5,"",0.6,46.6,29.4,,0.22,25.6,6.39,6.65,,"","",13,"<RL",4,"",,""
"EB3","EB","","REG",1987,7,28,12,"SUMMER",209.5,574.5,114,111,"",33,18,"",3.3,2,100,32,"",2.3,"<DL",1.4,,"52","","40","",,79,109,101,"",1,"",1.3,"",,50.4,27.1,,0.16,,6.49,6.8,,"","<RL",3,"<RL",2,"",,""
"WB3","WB","","REG",1987,7,28,12,"SUMMER",209.5,574.5,90,87,"",32,17,"",3.1,2,100,33,"",2.9,"<DL",1.4,,"62","","44","",,78,101,93,"<DL",0.05,"",1.1,"",,36.6,26.3,,0.22,,5.99,6.66,,"","<RL",3,"<RL",3,"",,""
